"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-3.407916520E-4,-2.659068096E-1,-7.237040341E-1,-8.354700530E-1,1.136865942E0
9.635208349E-3,-1.481739995E-1,-6.774309236E-1,-9.973356003E-1,1.214720746E0
1.961120835E-2,4.213983071E-1,-5.140497780E-1,-8.735167158E-1,1.097658945E0
2.958720835E-2,7.872106433E-1,-5.853954569E-1,-4.651097524E-1,1.085686658E0
3.956320835E-2,1.056569941E0,-6.045056194E-1,3.902022421E-2,1.217903799E0
4.953920835E-2,1.150546099E0,-6.813756014E-1,2.139999068E-1,1.354187947E0
5.951520833E-2,8.002318078E-1,-8.222907212E-1,-3.667981768E-1,1.204605279E0
6.949120833E-2,4.120135260E-1,-8.217763124E-1,-1.211812055E0,1.521039089E0
7.946720833E-2,1.890559772E-1,-6.085473610E-1,-1.877576029E0,1.982766703E0
8.944320833E-2,8.002645522E-2,-1.958248602E-1,-2.199581611E0,2.209730950E0
9.941920833E-2,1.675624895E-1,2.185528412E-1,-2.158161689E0,2.175661832E0
1.093942084E-1,3.026846266E-1,4.798770417E-1,-2.002263225E0,2.081095380E0
1.193702084E-1,3.536998290E-1,6.136619206E-1,-1.911375275E0,2.038391514E0
1.293462083E-1,4.107215837E-1,7.295851636E-1,-1.926872150E0,2.100910044E0
1.393222083E-1,6.243861526E-1,7.880444562E-1,-1.651051387E0,1.933091517E0
1.492982083E-1,9.067180833E-1,7.734125300E-1,-4.674913234E-1,1.280176848E0
1.592742083E-1,8.822284824E-1,5.883219883E-1,7.418005818E-1,1.294108944E0
1.692502083E-1,6.510038477E-1,3.726790139E-1,1.110107925E0,1.339789260E0
1.792262083E-1,4.372699893E-1,1.926511377E-1,7.976397371E-1,9.298110854E-1
1.892022083E-1,1.248646590E-1,2.261169456E-1,3.230124718E-1,4.135905138E-1
1.991782083E-1,-2.182829922E-1,4.605196881E-1,1.207169366E-1,5.237350729E-1
2.091532083E-1,-4.042373139E-1,7.033259028E-1,2.852242559E-1,8.598999986E-1
2.191292083E-1,-3.512758657E-1,8.153427672E-1,5.374860030E-1,1.037819717E0
2.291052083E-1,-1.586337912E-1,8.998688011E-1,8.330586612E-1,1.236493135E0
2.390812083E-1,3.627583355E-2,1.039984314E0,1.291570415E0,1.658625168E0
2.490572083E-1,2.553598943E-1,1.054498127E0,1.635383772E0,1.962563389E0
2.590332083E-1,2.370493385E-1,9.311382486E-1,1.684859987E0,1.939578306E0
2.690092083E-1,-1.465104666E-1,8.917992049E-1,1.698600360E0,1.924061933E0
2.789852083E-1,-5.062913999E-1,9.785856262E-1,1.720860125E0,2.043360071E0
2.889612083E-1,-7.485465145E-1,1.050247347E0,1.835080220E0,2.242958044E0
2.989372083E-1,-8.999318048E-1,1.123422620E0,1.748962428E0,2.265132493E0
3.089132083E-1,-9.106915587E-1,1.122005547E0,1.564113230E0,2.129484858E0
3.188882083E-1,-8.936086258E-1,1.082241995E0,1.389495490E0,1.974963754E0
3.288642083E-1,-1.062045859E0,1.092828672E0,1.368885224E0,2.048429318E0
