"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-2.499791677E-3,-9.059994605E-1,1.477985936E0,-1.458007316E0,2.265184934E0
7.476208324E-3,-1.373424126E0,1.674081523E0,-6.270998454E-1,2.254350680E0
1.745120832E-2,-1.391936118E0,1.831783268E0,1.318879836E0,2.651859747E0
2.742720832E-2,-1.011587311E0,1.794621581E0,3.484149985E0,4.047626048E0
3.740320832E-2,-4.912699029E-1,1.420612764E0,4.234395116E0,4.493282624E0
4.737920832E-2,-5.200972608E-1,1.294232214E0,3.251527281E0,3.538074031E0
5.735520832E-2,-8.913621256E-1,1.489378213E0,1.831756663E0,2.523510723E0
6.733120832E-2,-1.225241940E0,1.730531273E0,6.173846966E-1,2.208420287E0
7.730620832E-2,-1.036903416E0,1.768465085E0,-2.591012353E-1,2.066342397E0
8.728220832E-2,-1.156597382E0,2.220070839E0,-6.928751743E-1,2.597404097E0
9.725820832E-2,-1.223307389E0,2.686488613E0,-5.200156921E-1,2.997351891E0
1.072342083E-1,-9.331703022E-1,2.657578225E0,-4.128251195E-2,2.816954576E0
1.172102083E-1,-3.312143612E-1,2.093253210E0,6.255532569E-1,2.209689759E0
1.271862083E-1,2.022078270E-1,1.649944216E0,1.313778141E0,2.118777224E0
1.371612083E-1,5.325635245E-1,1.495014344E0,1.866972688E0,2.450362997E0
1.471372083E-1,7.040822402E-1,1.526899211E0,1.774073296E0,2.444276797E0
1.571132083E-1,8.554999825E-1,1.521091756E0,1.014856197E0,2.018795050E0
1.670892083E-1,8.537937650E-1,1.508517904E0,-1.221015573E-1,1.737670524E0
1.770652083E-1,8.262106946E-1,1.681532922E0,-1.138542350E0,2.192363054E0
1.870402083E-1,6.323611701E-1,1.744298250E0,-1.636677761E0,2.474100064E0
1.970162083E-1,4.696889994E-1,1.605257455E0,-1.699202623E0,2.384271127E0
2.069922083E-1,4.691244507E-1,1.270042722E0,-1.346871042E0,1.909750735E0
