"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.993000013E-3,9.124580026E-4,-7.055630475E-2,-4.167409998E-1,4.226725513E-1
1.196900001E-2,-2.472641319E-2,-1.007179973E-1,-2.233478504E-1,2.462514422E-1
2.194500001E-2,-5.794152170E-3,-4.347843379E-2,-9.370572388E-2,1.034635641E-1
3.192100002E-2,-3.538749531E-2,-4.768959850E-2,-9.305551350E-2,1.103897696E-1
4.189700002E-2,-8.868618160E-3,-7.338343352E-2,-1.290346009E-1,1.487067884E-1
5.187300002E-2,6.541250914E-2,-5.304798692E-2,-1.010650295E-1,1.315561685E-1
6.184900002E-2,6.080621883E-2,-1.897246063E-2,-9.344903111E-2,1.130932002E-1
7.182500002E-2,6.182597324E-2,-3.019092858E-2,-1.041336483E-1,1.248108963E-1
8.180000001E-2,9.986781210E-2,-8.556815386E-3,-1.117315203E-1,1.501024037E-1
9.177600002E-2,1.182267536E-1,2.496176362E-3,-8.804678857E-2,1.474314524E-1
1.017520000E-1,1.211942156E-1,5.269218385E-3,-9.118732810E-2,1.517594523E-1
1.117280000E-1,9.191852242E-2,3.779903322E-2,-7.731305480E-2,1.259169969E-1
1.217040000E-1,1.320684287E-1,4.736624748E-2,-6.709036767E-2,1.555208947E-1
1.316800000E-1,1.576266083E-1,5.253518611E-2,-6.581976771E-2,1.787129969E-1
1.416560000E-1,1.113536440E-1,3.601738662E-2,-3.670998931E-2,1.226560617E-1
1.516320000E-1,1.281285748E-1,1.953700930E-2,7.951219261E-2,1.520553030E-1
1.616070000E-1,2.002026705E-1,2.059740186E-2,1.977060556E-1,2.821223967E-1
1.715830000E-1,2.235171273E-1,3.886147231E-2,2.393616199E-1,3.297940347E-1
1.815590000E-1,2.078239314E-1,-3.631120920E-4,2.509285820E-1,3.258160088E-1
1.915350000E-1,1.521292023E-1,3.489355177E-2,2.820521414E-1,3.223573555E-1
2.015110000E-1,1.388245940E-1,5.128972918E-2,2.507110655E-1,2.911338912E-1
