"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-8.826250269E-4,1.159635157E0,-1.105305022E-1,-4.911357093E-1,1.264193409E0
9.093374974E-3,1.111228251E0,-1.095651269E-1,-1.427112383E-1,1.125699445E0
1.906937498E-2,1.150186057E0,-1.236642256E-1,2.303393662E-1,1.179524069E0
2.904537498E-2,1.148016009E0,-1.044064209E-1,3.359535295E-1,1.200710719E0
3.902037500E-2,1.224187687E0,-4.773725331E-2,2.909586203E-1,1.259194686E0
4.899637497E-2,1.171826456E0,-2.505093366E-2,1.981703246E-1,1.188728846E0
5.897237497E-2,1.062473729E0,-2.064929590E-2,6.721432865E-2,1.064797907E0
6.894837497E-2,9.887016016E-1,2.913930684E-2,-5.950126648E-3,9.891488059E-1
7.892437498E-2,9.228096208E-1,7.669807389E-2,-6.969647169E-2,9.286106767E-1
8.890037498E-2,8.520360920E-1,8.154614657E-2,-1.514557493E-1,8.692261616E-1
9.887637498E-2,8.066783631E-1,9.204043686E-2,-1.833020246E-1,8.323467160E-1
1.088523750E-1,7.552010845E-1,1.042051305E-1,-8.245334208E-2,7.668024132E-1
1.188283750E-1,7.776426981E-1,1.251839170E-1,-3.914476991E-2,7.886263323E-1
1.288043750E-1,6.945131256E-1,1.017674263E-1,-9.456000209E-2,7.082702059E-1
1.387803750E-1,5.504941575E-1,7.346339419E-2,-1.155883437E-1,5.672753767E-1
1.487563750E-1,4.486442124E-1,7.236177877E-2,-6.298620701E-3,4.544860053E-1
1.587323750E-1,4.218718585E-1,6.592443287E-2,8.851515055E-2,4.360697509E-1
1.687083750E-1,4.364424621E-1,7.956701025E-2,6.281079054E-3,4.436804974E-1
1.786843750E-1,3.756942768E-1,1.442084178E-1,-1.256163186E-1,4.215705361E-1
1.886603750E-1,2.918805800E-1,2.163827933E-1,-2.206464368E-1,4.250889746E-1
1.986363750E-1,1.761294644E-1,2.792940098E-1,-1.707989234E-1,3.717512668E-1
2.086123750E-1,8.109364517E-2,3.208318989E-1,-1.897596896E-1,3.814682509E-1
2.185883750E-1,1.817241535E-2,3.611504973E-1,-1.765075600E-1,4.023864276E-1
2.285643750E-1,-2.681423463E-2,3.587899764E-1,-8.485537827E-2,3.696615825E-1
2.385403750E-1,-2.794603631E-3,3.408185591E-1,-5.500826597E-2,3.452405094E-1
2.485163750E-1,2.292371660E-2,3.225647213E-1,-4.442714453E-3,3.234087721E-1
2.584923750E-1,-4.335286483E-2,3.121838669E-1,3.726898313E-2,3.173755107E-1
2.684683750E-1,-1.667552814E-1,2.742290054E-1,4.880612433E-2,3.246396603E-1
2.784443750E-1,-2.957102139E-1,2.353640248E-1,2.442615867E-2,3.787312926E-1
2.884203750E-1,-3.677517115E-1,2.330271851E-1,-1.423171359E-1,4.580361966E-1
2.983963750E-1,-4.921290050E-1,2.535440415E-1,-3.038768739E-1,6.315193529E-1
3.083723750E-1,-5.530121148E-1,2.600474609E-1,-4.572996265E-1,7.632627525E-1
3.183483750E-1,-6.514464089E-1,2.867329837E-1,-5.349032879E-1,8.903481089E-1
3.283243750E-1,-7.550039602E-1,3.428666925E-1,-5.285309923E-1,9.833277981E-1
3.383003750E-1,-8.444214823E-1,4.106660351E-1,-5.234942007E-1,1.075053678E0
3.482763750E-1,-9.064089118E-1,5.655127309E-1,-6.027093548E-1,1.226637816E0
3.582523750E-1,-9.376847912E-1,7.401032813E-1,-6.981826919E-1,1.383641827E0
3.682283750E-1,-9.965613558E-1,9.662420078E-1,-8.849351585E-1,1.646167789E0
3.782043750E-1,-9.954154477E-1,1.198673069E0,-1.095710911E0,1.904796955E0
3.881803750E-1,-9.020327825E-1,1.367667103E0,-1.220070078E0,2.042730389E0
3.981563750E-1,-8.993264718E-1,1.461622942E0,-1.234686947E0,2.114138497E0
4.081323750E-1,-9.439571726E-1,1.510748616E0,-1.082690331E0,2.084618641E0
4.181083750E-1,-1.005748355E0,1.541416239E0,-8.294614542E-1,2.018786784E0
4.280843750E-1,-1.103689290E0,1.483851863E0,-6.184085441E-1,1.949968084E0
4.380603750E-1,-1.170177322E0,1.422073983E0,-3.861208856E-1,1.881674445E0
4.480363750E-1,-1.154244901E0,1.356179956E0,-1.020631492E-1,1.783794341E0
4.580123750E-1,-1.065893107E0,1.227381290E0,3.253998899E-1,1.657853442E0
4.679883750E-1,-8.984782601E-1,1.111458047E0,9.112195623E-1,1.694969989E0
4.779643750E-1,-7.067480589E-1,9.826548497E-1,1.299478775E0,1.775879629E0
4.879403750E-1,-6.111307340E-1,9.346525714E-1,1.404153875E0,1.794074778E0
4.979163750E-1,-5.273931241E-1,9.743965347E-1,1.225146630E0,1.651840301E0
5.078923750E-1,-3.781362203E-1,1.065784422E0,6.514061362E-1,1.305072178E0
5.178683750E-1,-2.889232045E-1,1.180675339E0,-1.027320707E-1,1.219846201E0
5.278443750E-1,-1.902713209E-1,1.397527226E0,-6.810485959E-1,1.566241588E0
5.378203750E-1,-1.699338278E-1,1.555346500E0,-1.108623317E0,1.917557274E0
